Minute,Fraction
258660,0.746221
260562,0.366083
260563,0.366083
260564,0.366083
260565,0.366083
260566,0.366083
273223,0.365818
273224,0.365818
273225,0.365818
273226,0.365818
273227,0.365818
274741,0.715593
274742,0.715593
274743,0.715593
274744,0.715593
274745,0.715593
274746,0.715593
274747,0.715593
274748,0.715593
274749,0.715593
274750,0.715593
274751,0.715593
276076,0.393264
276077,0.393264
276078,0.393264
276079,0.393264
277520,0.730575
277521,0.730575
277522,0.730575
277523,0.730575
280647,0.48873
280648,0.48873
280649,0.48873
280650,0.48873
286292,0.665739
286293,0.665739
286294,0.665739
286295,0.665739
286296,0.665739
286297,0.665739
286298,0.665739
289108,0.515646
289109,0.515646
289110,0.515646
289111,0.515646
289112,0.515646
289113,0.515646
289114,0.515646
289115,0.515646
290746,0.603156
290747,0.603156
290748,0.603156
290749,0.603156
291353,0.732829
291354,0.732829
291355,0.732829
291356,0.732829
291357,0.732829
293467,0.668523
293468,0.668523
297425,0.545081
297426,0.545081
297427,0.545081
297428,0.545081
302133,0.503845
302134,0.503845
302135,0.503845
302136,0.503845
302137,0.503845
302138,0.503845
305944,0.59878
305945,0.59878
305946,0.59878
305947,0.59878
305948,0.59878
305949,0.59878
305950,0.59878
306526,0.408778
306527,0.408778
306528,0.408778
306529,0.408778
306530,0.408778
310134,0.816494
310135,0.816494
310136,0.816494
310137,0.816494
310138,0.816494
310139,0.816494
322421,0.581941
322422,0.581941
322423,0.581941
322424,0.581941
323789,0.432511
323790,0.432511
323791,0.432511
323792,0.432511
323793,0.432511
328187,0.341421
328188,0.341421
328189,0.341421
328190,0.341421
328191,0.341421
328192,0.341421
328193,0.341421
328194,0.341421
332335,0.47388
332336,0.47388
332337,0.47388
332338,0.47388
332339,0.47388
332340,0.47388
332341,0.47388
339610,1.0
350477,0.600106
350478,0.600106
350479,0.600106
350480,0.600106
350481,0.600106
350482,0.600106
350483,0.600106
354848,0.783081
359969,0.616415
359970,0.616415
359971,0.616415
359972,0.616415
359973,0.616415
359974,0.616415
359975,0.616415
362457,0.840891
362458,0.840891
362459,0.840891
362460,0.840891
362461,0.840891
362462,0.840891
362463,0.840891
363820,0.667993
363821,0.667993
363822,0.667993
363823,0.667993
363824,0.667993
365489,0.47494
365490,0.47494
365491,0.47494
365492,0.47494
366906,0.594007
366907,0.594007
366908,0.594007
366909,0.594007
366910,0.594007
366911,0.594007
366912,0.594007
384915,0.396314
384916,0.396314
384917,0.396314
384918,0.396314
384919,0.396314
384920,0.396314
384921,0.396314
384922,0.396314
394437,0.474675
394438,0.474675
394439,0.474675
394440,0.474675
396836,0.776187
396837,0.776187
396838,0.776187
399420,0.401087
399421,0.401087
399422,0.401087
399423,0.401087
399424,0.401087
399425,0.401087
400201,0.594007
400202,0.594007
400203,0.594007
400204,0.594007
401453,0.469106
401454,0.469106
401455,0.469106
401456,0.469106
401457,0.469106
406759,0.559136
406760,0.559136
406761,0.559136
406762,0.559136
408215,0.732829
408216,0.732829
408217,0.732829
408218,0.732829
408219,0.732829
408220,0.732829
408221,0.732829
411132,0.532883
411133,0.532883
411134,0.532883
411135,0.532883
411136,0.532883
411137,0.532883
416694,0.63206
416695,0.63206
416696,0.63206
416697,0.63206
416698,0.63206
