Minute,Fraction
30833,0.560106
30834,0.560106
30835,0.560106
30836,0.560106
30837,0.560106
30838,0.560106
30839,0.560106
30862,0.417534
30863,0.417534
30864,0.417534
30865,0.417534
30893,0.774629
30894,0.774629
30895,0.774629
30896,0.774629
30897,0.774629
30898,0.774629
30899,0.774629
30900,0.774629
30901,0.774629
31788,0.458712
31789,0.458712
31790,0.458712
31791,0.458712
31792,0.458712
32951,0.672792
32952,0.672792
32953,0.672792
32954,0.672792
32955,0.672792
32956,0.672792
33583,0.044941
33584,0.044941
33585,0.044941
33586,0.044941
33587,0.044941
33588,0.044941
33589,0.044941
33590,0.044941
33957,0.528227
33958,0.528227
33959,0.528227
33960,0.528227
33961,0.528227
33962,0.528227
33963,0.528227
34118,0.187292
34119,0.187292
34120,0.187292
34121,0.187292
34122,0.187292
34123,0.187292
34124,0.187292
34125,0.187292
34126,0.187292
34929,0.631614
34930,0.631614
34931,0.631614
34932,0.631614
36474,0.02081
36475,0.02081
36476,0.02081
36477,0.02081
36478,0.02081
36479,0.02081
36694,0.877352
36695,0.877352
36696,0.877352
36697,0.877352
37853,0.476644
37854,0.476644
37855,0.476644
37856,0.476644
37964,0.451184
37965,0.451184
37966,0.451184
37967,0.451184
37968,0.451184
37969,0.451184
37970,0.451184
38123,0.556564
38124,0.556564
38125,0.556564
38126,0.556564
38127,0.556564
38128,0.556564
38129,0.556564
38130,0.556564
38131,0.556564
38132,0.556564
38154,0.58623
38155,0.58623
38156,0.58623
38157,0.58623
38158,0.58623
38159,0.58623
38160,0.58623
38161,0.58623
38162,0.58623
40780,0.488599
40781,0.488599
40782,0.488599
40783,0.488599
40784,0.488599
40810,0.559885
40811,0.559885
40812,0.559885
40813,0.559885
40836,0.447199
40837,0.447199
40838,0.447199
40839,0.447199
40840,0.447199
40841,0.447199
40842,0.447199
40843,0.447199
40844,0.447199
40845,0.447199
40846,0.447199
41529,0.484614
41530,0.484614
41531,0.484614
41532,0.484614
41533,0.484614
41534,0.484614
41535,0.484614
41659,0.415541
41660,0.415541
41661,0.415541
42118,0.603941
42119,0.603941
42120,0.603941
42121,0.603941
42122,0.603941
42123,0.603941
42124,0.603941
42125,0.603941
42153,0.465574
42154,0.465574
42155,0.465574
42156,0.465574
42157,0.465574
42158,0.465574
42159,0.465574
42160,0.465574
42185,0.492584
42186,0.492584
42187,0.492584
42188,0.492584
42189,0.492584
42286,0.581802
42287,0.581802
42288,0.581802
42289,0.581802
42290,0.581802
42291,0.581802
42317,0.426389
42318,0.426389
42319,0.426389
42320,0.426389
42321,0.426389
42322,0.426389
42323,0.426389
42324,0.426389
42325,0.426389
42326,0.426389
42327,0.426389
45120,0.374585
45121,0.374585
45122,0.374585
45123,0.374585
45124,0.374585
45125,0.374585
45126,0.374585
45127,0.374585
45212,0.425282
45213,0.425282
45214,0.425282
45215,0.425282
45216,0.425282
45217,0.425282
45218,0.425282
45219,0.425282
45220,0.425282
46906,0.709542
46907,0.709542
46908,0.709542
46909,0.709542
46910,0.709542
46911,0.709542
46912,0.709542
46913,0.709542
46937,0.65973
46938,0.65973
46939,0.65973
46940,0.65973
46941,0.65973
46942,0.65973
46943,0.65973
46944,0.65973
46945,0.65973
46946,0.65973
46947,0.65973
47473,0.380341
47474,0.380341
47475,0.380341
47476,0.380341
47477,0.380341
49416,0.561656
49417,0.561656
49418,0.561656
49419,0.561656
49420,0.561656
49421,0.561656
49422,0.561656
49423,0.561656
49424,0.561656
49425,0.561656
49461,0.589772
49462,0.589772
49463,0.589772
49464,0.589772
49465,0.589772
49466,0.589772
49467,0.589772
49468,0.589772
50010,0.598849
50011,0.598849
50012,0.598849
50013,0.598849
50014,0.598849
50015,0.598849
50016,0.598849
52297,0.370157
52298,0.370157
52299,0.370157
52300,0.370157
52301,0.370157
52302,0.370157
52303,0.370157
52436,0.734337
52437,0.734337
52438,0.734337
52439,0.734337
52440,0.734337
53184,0.266991
53185,0.266991
53186,0.266991
53187,0.266991
53188,0.266991
53189,0.266991
53190,0.266991
53191,0.266991
53192,0.266991
53193,0.266991
53665,0.660615
53666,0.660615
53667,0.660615
53668,0.660615
53669,0.660615
55429,0.354217
55430,0.354217
55431,0.354217
55432,0.354217
55433,0.354217
55434,0.354217
55435,0.354217
55436,0.354217
55437,0.354217
55438,0.354217
55439,0.354217
55440,0.354217
55441,0.354217
55442,0.354217
55443,0.354217
55444,0.354217
55445,0.354217
55446,0.354217
55447,0.354217
55448,0.354217
55449,0.354217
55450,0.354217
57103,0.656852
57104,0.656852
57105,0.656852
57106,0.656852
57107,0.656852
57108,0.656852
57109,0.656852
58005,0.397609
58006,0.397609
58007,0.397609
58008,0.397609
58246,0.19969
58247,0.19969
58248,0.19969
58249,0.19969
58250,0.19969
60021,0.414434
60022,0.414434
60023,0.414434
60024,0.414434
60025,0.414434
60026,0.414434
60027,0.414434
60078,0.79234
60079,0.79234
60080,0.79234
60081,0.79234
60082,0.79234
60083,0.79234
60084,0.79234
60258,1.0
60259,1.0
60260,1.0
60261,1.0
60262,1.0
60263,1.0
60264,1.0
60265,1.0
60266,1.0
60267,1.0
60268,1.0
60269,1.0
62241,0.432145
62242,0.432145
62243,0.432145
62244,0.432145
62245,0.432145
62246,0.432145
62247,0.432145
63162,0.494797
63163,0.494797
63164,0.494797
63198,0.359309
63199,0.359309
63200,0.359309
63201,0.359309
63202,0.359309
63203,0.359309
63204,0.359309
63205,0.359309
63206,0.359309
63207,0.359309
63208,0.359309
63209,0.359309
63775,0.714191
63776,0.714191
63777,0.714191
63778,0.714191
63779,0.714191
63780,0.714191
63781,0.714191
63782,0.714191
63783,0.714191
63784,0.714191
63785,0.714191
63786,0.714191
63787,0.714191
65346,0.345362
65347,0.345362
65348,0.345362
65349,0.345362
65350,0.345362
65377,0.772194
65378,0.772194
65379,0.772194
65380,0.772194
65381,0.772194
65382,0.772194
65870,0.724375
65871,0.724375
65872,0.724375
65873,0.724375
65874,0.724375
65875,0.724375
65876,0.724375
65877,0.724375
65878,0.724375
70991,0.311933
70992,0.311933
70993,0.311933
70994,0.311933
70995,0.311933
70996,0.311933
70997,0.311933
70998,0.311933
70999,0.311933
71000,0.311933
71001,0.311933
71002,0.311933
71003,0.311933
71004,0.311933
71005,0.311933
71006,0.311933
71007,0.311933
71008,0.311933
71009,0.311933
71039,0.43613
71040,0.43613
71041,0.43613
71042,0.43613
71043,0.43613
71044,0.43613
71045,0.43613
71046,0.43613
71047,0.43613
71890,0.553022
71891,0.553022
71892,0.553022
71893,0.553022
71894,0.553022
71895,0.553022
71896,0.553022
71897,0.553022
71898,0.553022
73028,0.473987
73029,0.473987
73030,0.473987
73031,0.473987
73032,0.473987
73033,0.473987
73034,0.473987
73035,0.473987
73036,0.473987
73379,0.390746
73380,0.390746
73381,0.390746
73382,0.390746
73383,0.390746
73384,0.390746
73385,0.390746
73386,0.390746
73387,0.390746
73388,0.390746
73877,0.443879
73878,0.443879
73879,0.443879
73880,0.443879
73881,0.443879
73882,0.443879
73883,0.443879
73884,0.443879
73885,0.443879
73886,0.443879
73887,0.443879
73888,0.443879
74102,0.595749
74103,0.595749
74104,0.595749
74105,0.595749
74106,0.595749
74107,0.595749
74108,0.595749
75233,0.386983
75234,0.386983
75235,0.386983
75236,0.386983
75237,0.386983
75238,0.386983
75239,0.386983
75240,0.386983
75241,0.386983
75242,0.386983
75243,0.386983
75244,0.386983
75245,0.386983
75246,0.386983
75247,0.386983
75248,0.386983
76884,0.626965
76885,0.626965
76886,0.626965
76887,0.626965
76888,0.626965
76889,0.626965
76890,0.626965
77213,0.673456
77214,0.673456
77215,0.673456
77216,0.673456
77217,0.673456
77218,0.673456
77219,0.673456
78240,0.578703
78241,0.578703
78242,0.578703
78243,0.578703
78244,0.578703
78988,0.387868
78989,0.387868
78990,0.387868
78991,0.387868
78992,0.387868
78993,0.387868
78994,0.387868
79018,0.649768
79019,0.649768
79020,0.649768
79021,0.649768
79022,0.649768
79709,0.265663
79710,0.265663
79711,0.265663
79712,0.265663
79713,0.265663
79714,0.265663
82501,0.210538
82502,0.210538
82503,0.210538
82504,0.210538
82505,0.210538
82506,0.210538
82507,0.210538
82508,0.210538
82509,0.210538
82510,0.210538
82511,0.210538
82512,0.210538
82513,0.210538
82514,0.210538
84302,0.517822
84303,0.517822
84304,0.517822
84305,0.517822
84306,0.517822
84307,0.517822
84308,0.517822
84309,0.517822
84310,0.517822
